date,ticker,price,decision,rsi,sentiment,reason
2025-12-21,BNB-USDT,858.64,buy,44.321314793647545,POSITIVE,"Trend Entry"
2025-12-21,BTC-USDT,88658.86,buy,46.15836012242394,POSITIVE,"Trend Entry"
2025-12-21,ETH-USDT,3002.02,buy,47.85176103377846,POSITIVE,"Trend Entry"
2025-12-21,XRP-USDT,1.9223,buy,42.217270645784126,POSITIVE,"Trend Entry"
2025-12-23,BNB-USDT,844.3,sell,41.16013925084488,NEGATIVE,"Negative Sentiment Exit"
2025-12-23,BTC-USDT,87486,sell,43.112086239933014,NEGATIVE,"Negative Sentiment Exit"
2025-12-23,ETH-USDT,2965.02,sell,45.87671818107387,NEGATIVE,"Negative Sentiment Exit"
2025-12-23,XRP-USDT,1.8734,sell,39.078778302058396,NEGATIVE,"Negative Sentiment Exit"
2025-12-24,DOT-USDT,1.738,buy,29.079270736582743,POSITIVE,"Bounce Entry"
2025-12-25,DOT-USDT,1.685,sell,27.20771524414226,NEGATIVE,"Negative Sentiment Exit"
2025-12-31,BNB-USDT,864.3,buy,49.61242448128477,POSITIVE,"Trend Entry"
2025-12-31,LTC-USDT,76.85,buy,41.827311669244,POSITIVE,"Trend Entry"
2026-01-01,BNB-USDT,864.39,sell,49.642362002905884,NEGATIVE,"Negative Sentiment Exit"
2026-01-01,LTC-USDT,79.97,sell,49.69763455892535,NEGATIVE,"Negative Sentiment Exit"
2026-01-04,ADA-USDT,0.4007,buy,54.680633791965214,POSITIVE,"Trend Entry"
2026-01-04,BNB-USDT,895.43,buy,59.0411764400036,POSITIVE,"Trend Entry"
2026-01-04,BTC-USDT,91529.73,buy,59.30155670876091,POSITIVE,"Trend Entry"
2026-01-04,DOGE-USDT,0.14953,buy,63.76453299168405,POSITIVE,"Trend Entry"
2026-01-04,DOT-USDT,2.142,buy,58.188091427336644,POSITIVE,"Trend Entry"
2026-01-04,ETH-USDT,3144.7,buy,60.807806427765854,POSITIVE,"Trend Entry"
2026-01-04,LTC-USDT,82.26,buy,54.63438702593737,POSITIVE,"Trend Entry"
2026-01-04,SOL-USDT,134.12,buy,59.33901037407095,POSITIVE,"Trend Entry"
2026-01-04,XRP-USDT,2.0909,buy,62.493797303619324,POSITIVE,"Trend Entry"
2026-01-05,ADA-USDT,0.4211,sell,59.362725084111865,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,BNB-USDT,910.31,sell,62.87775288160296,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,BTC-USDT,93859.71,sell,65.73614270846723,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,DOGE-USDT,0.15171,sell,65.11230367313058,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,DOT-USDT,2.208,sell,61.06953243270334,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,ETH-USDT,3224.99,sell,65.7057423518529,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,LTC-USDT,83.46,sell,57.32791237418434,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,SOL-USDT,137.9,sell,63.893963888776725,NEGATIVE,"Negative Sentiment Exit"
2026-01-05,XRP-USDT,2.3478,sell,74.51971077404066,NEGATIVE,"Take Profit"
2026-01-31,ADA-USDT,0.2936,buy,29.054974039440985,POSITIVE,"Bounce Entry"
2026-01-31,BNB-USDT,781.38,buy,27.429075778929214,POSITIVE,"Bounce Entry"
2026-01-31,BTC-USDT,78741.09,buy,25.177160360756723,POSITIVE,"Bounce Entry"
2026-01-31,DOGE-USDT,0.10426,buy,27.539803733155495,POSITIVE,"Bounce Entry"
2026-01-31,DOT-USDT,1.547,buy,27.09452453506333,POSITIVE,"Bounce Entry"
2026-01-31,ETH-USDT,2451.95,buy,26.76382141649036,POSITIVE,"Bounce Entry"
2026-01-31,LTC-USDT,59.53,buy,24.071079147789867,POSITIVE,"Bounce Entry"
2026-01-31,SOL-USDT,105.58,buy,28.211459960573883,POSITIVE,"Bounce Entry"
2026-01-31,XRP-USDT,1.6472,buy,28.446285559149263,POSITIVE,"Bounce Entry"
2026-02-01,ETH-USDT,2270.15,sell,23.070108436839497,POSITIVE,"Stop Loss"
2026-02-02,ADA-USDT,0.2991,sell,33.2919357470513,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,BNB-USDT,773.94,sell,29.584094272375268,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,BTC-USDT,78738.61,sell,29.235525474093837,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,DOGE-USDT,0.10792,sell,32.707691643302155,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,DOT-USDT,1.543,sell,29.643281915517566,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,LTC-USDT,60.02,sell,27.971320360755847,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,SOL-USDT,104.55,sell,30.827111079494056,NEGATIVE,"Negative Sentiment Exit"
2026-02-02,XRP-USDT,1.6198,sell,29.298414357796553,NEGATIVE,"Negative Sentiment Exit"
2026-02-03,BNB-USDT,754.78,buy,27.317276231344618,POSITIVE,"Bounce Entry"
2026-02-03,BTC-USDT,75770.21,buy,25.588248038559446,POSITIVE,"Bounce Entry"
